#type #avg_gauss_curv #avg_rel_err_gauss #avg_mean_curv #avg_rel_err_mean_curv #surf #vol #spher
T0_WT-1-1 0.142550797663 6.96277093586 0.151784835961 3.36526878654 20.504303 7.232588 0.882066986241
T0_WT-1-2 0.432223989599 3.92817441876 0.653201013994 1.18911423385 44.825012 23.84362 0.893741259823
T0_WT-1-3 0.118856620416 8.87105059188 0.189877697443 2.68338551691 59.745121 29.737057 0.776927164168
T0_WT-1-4 0.285333729996 4.47746719667 0.538060585951 1.23032704851 67.174835 33.924465 0.754430939986
T0_WT-1-5 1.06403498755 4.02638675488 0.774585685997 1.58522368469 6.572748 1.135618 0.800863728017
T0_WT-3-1 2.43739665292 2.97872083155 1.48663548408 1.12165090603 8.326758 2.051189 0.937587777694
T1_WT-1-7 0.501494022506 5.16925832791 0.393167994136 2.37158040005 13.097087 3.54297 0.858132529603
T1_WT-1-8 0.210256092009 12.3413593248 0.323229574899 2.62992064555 27.721649 6.794921 0.625827498532
T1_WT-1-9 0.283312980314 8.91061859316 0.233241858235 3.34424478093 12.765911 3.347084 0.847637229263
T1_WT-1-10 1.37293827769 2.60307237639 1.24769701121 0.733828259012 13.519486 3.641504 0.846664027611
T1_WT-2-3 0.215276677957 5.52947326224 0.301147534107 2.06647557982 29.663881 10.634385 0.788371731674
T3_WT-2-3 1.26569236204 6.49120491038 0.750776664776 2.14469722915 6.955407 1.414368 0.862415625807
T3_WT-2-4 0.653755701207 10.2037025425 0.425066925784 3.12230084758 8.224977 1.853954 0.87606533121
T3_WT-2-6 0.544030868709 6.39600677325 0.323129728684 3.0486604314 6.52713 1.257572 0.887323611968
T3_WT-2-7 0.938349266241 5.017870648 0.805525985076 1.59486095119 8.786226 1.987309 0.863211209254
T3_WT-3-7 0.127729483271 10.3754544568 0.11675584015 4.37117305965 15.769098 4.71584 0.870012162386
T3_WT-3-8 0.142472916396 9.39512679358 0.116794966435 4.43376268411 12.076363 3.565215 0.934555473779
T3_WT-3-9 2.69017135812 3.92576283551 1.63238928267 1.19354620599 8.012699 1.666013 0.848185524562
T1_PRA_10-3-2 0.502244219283 4.57628249748 0.325271916056 2.60515873275 7.018317 1.544177 0.920553782934
T1_PRA_10-3-3 1.3542736207 4.03150397608 0.698728717626 2.02238477324 4.413333 0.805389 0.948537545285
T1_PRA_10-3-4 0.753873202637 5.30439593131 0.604318411897 1.94761975162 11.306429 3.25997 0.940374917676
T1_PRA_100-1-4 0.255715206206 8.31102397409 0.243577561173 3.03291815727 23.754667 9.301962 0.900433245811
T1_PRA_100-1-5 0.289721578799 9.68254433965 0.263311823668 3.1386390689 24.33502 9.725672 0.9054520703
T1_PRA_100-2-2 0.319125193877 4.28159699653 0.315191091875 2.10781463022 17.309189 6.218224 0.944753006736
T1_PRA_100-3-2 0.704704932566 3.72601209667 0.551375626311 1.77903304652 10.516482 2.739893 0.900401092783
